card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fights_location,round_format,round_fought,weight_class,winner,winning_method,fight_year,SApM_f1,SLpM_f1,height_f1,reach_f1,stance_f1,strAcc_f1,strDef_f1,subAvg_f1,tdAcc_f1,tdAvg_f1,tdDef_f1,weight_f1,birth_year_f1,win_f1,lose_f1,draw_f1,nc_f1,SApM_f2,SLpM_f2,height_f2,reach_f2,stance_f2,strAcc_f2,strDef_f2,subAvg_f2,tdAcc_f2,tdAvg_f2,tdDef_f2,weight_f2,birth_year_f2,win_f2,lose_f2,draw_f2,nc_f2,f1_age_when_fight,f2_age_when_fight
UFC Fight Night: Gane vs. Volkov,Justin Jaynes,0.28,182.0,2.0,2.0,Charles Rosa,0.47,92.0,2.0,2.0,"Las Vegas, Nevada, USA",3.0,3.0,Featherweight,0.0,S-DEC,2021.0,5.33,3.34,170.18,68.0,Orthodox,0.44,0.62,1.1,0.4,0.75,0.2,145,1989,16,8,0,0,3.86,3.08,175.26,69.0,Switch,0.36,0.47,1.0,0.35,1.67,0.38,145,1986,14,8,0,0,32.0,35.0
UFC Fight Night: Gane vs. Volkov,Damir Hadzovic,0.47,219.0,2.0,2.0,Yancy Medeiros,0.51,237.0,3.0,2.0,"Las Vegas, Nevada, USA",3.0,3.0,Lightweight,1.0,U-DEC,2021.0,3.26,3.36,175.26,70.0,Orthodox,0.48,0.62,0.2,0.55,0.78,0.34,155,1986,14,7,0,0,5.67,4.36,177.8,75.0,Orthodox,0.37,0.47,0.7,0.5,0.33,0.73,155,1987,15,8,0,1,35.0,34.0
UFC Fight Night: Font vs. Garbrandt,Damir Ismagulov,0.47,63.0,1.0,0.0,Rafael Alves,0.44,126.0,3.0,2.0,"Las Vegas, Nevada, USA",3.0,3.0,Lightweight,1.0,U-DEC,2021.0,2.56,4.05,177.8,74.0,Orthodox,0.42,0.63,0.0,0.28,1.4,0.9,155,1991,24,1,0,0,4.14,2.46,172.72,68.0,Orthodox,0.5,0.58,1.2,0.25,0.41,0.6,155,1990,20,11,0,0,30.0,31.0
UFC Fight Night: Gane vs. Volkov,Julija Stoliarenko,0.52,91.0,4.0,1.0,Julia Avila,0.42,94.0,3.0,1.0,"Las Vegas, Nevada, USA",3.0,3.0,Women's Bantamweight,0.0,SUB,2021.0,4.61,2.75,170.18,66.0,Orthodox,0.41,0.44,1.2,0.25,0.7,0.62,135,1993,10,8,2,0,2.86,3.18,170.18,68.0,Orthodox,0.44,0.55,0.3,0.33,0.67,0.61,135,1988,9,2,0,0,28.0,33.0
UFC Fight Night: Hall vs. Strickland,Ashley Yoder,0.47,185.0,1.0,0.0,Jinh Yu Frey,0.38,236.0,8.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Women's Strawweight,0.0,U-DEC,2021.0,3.76,3.08,170.18,69.0,Southpaw,0.39,0.47,0.6,0.3,1.2,0.69,115,1987,8,8,0,0,4.23,3.17,160.02,65.0,Southpaw,0.44,0.52,0.4,0.33,0.61,0.88,115,1985,11,8,0,0,34.0,36.0
UFC Fight Night: Hall vs. Strickland,Phil Rowe,0.49,93.0,0.0,0.0,Orion Cosce,0.42,52.0,6.0,2.0,"Las Vegas, Nevada, USA",3.0,2.0,Welterweight,1.0,KO/TKO,2021.0,4.97,4.39,190.5,80.0,Orthodox,0.52,0.53,0.5,0.37,0.81,0.52,170,1990,10,3,0,0,3.53,2.92,180.34,71.0,Switch,0.53,0.46,0.0,0.4,2.3,0.72,170,1994,8,1,0,0,31.0,27.0
UFC Fight Night: Hall vs. Strickland,Bryan Barberena,0.44,113.0,1.0,0.0,Jason Witt,0.42,83.0,18.0,8.0,"Las Vegas, Nevada, USA",3.0,3.0,Welterweight,0.0,M-DEC,2021.0,4.9,5.92,182.88,72.0,Southpaw,0.48,0.44,0.3,0.25,0.16,0.54,170,1989,18,9,0,0,2.54,2.15,177.8,70.0,Orthodox,0.44,0.52,0.9,0.48,6.9,1.0,170,1986,19,9,0,0,32.0,35.0
UFC Fight Night: Makhachev vs. Moises,Alan Baudot,0.65,91.0,0.0,0.0,Rodrigo Nascimento,0.59,83.0,3.0,0.0,"Las Vegas, Nevada, USA",3.0,2.0,Heavyweight,0.0,KO/TKO,2021.0,4.82,5.36,190.5,79.0,Orthodox,0.58,0.46,0.0,0.0,0.0,0.62,243,1988,8,4,0,1,5.22,4.05,187.96,80.0,Orthodox,0.51,0.41,1.4,0.41,2.3,1.0,246,1992,9,1,0,1,33.0,29.0
UFC Fight Night: Hall vs. Strickland,Ryan Benoit,0.28,129.0,1.0,0.0,Zarrukh Adashev,0.54,143.0,4.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Flyweight,0.0,U-DEC,2021.0,3.65,2.88,165.1,68.0,Orthodox,0.39,0.58,0.4,0.22,0.28,0.72,125,1989,10,8,0,0,3.04,3.65,165.1,65.0,Southpaw,0.4,0.64,0.5,0.0,0.0,1.0,125,1992,4,4,0,0,32.0,29.0
UFC Fight Night: Hall vs. Strickland,Danny Chavez,0.37,110.0,5.0,1.0,Kai Kamaka,0.62,77.0,3.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Featherweight,1.0,M-DEC,2021.0,3.83,2.86,172.72,67.0,Orthodox,0.38,0.5,0.0,0.6,1.95,0.87,145,1987,11,5,1,0,5.29,4.96,170.18,69.0,Orthodox,0.57,0.55,0.3,0.58,1.93,0.52,145,1995,8,4,1,0,34.0,26.0
UFC Fight Night: Hall vs. Strickland,Rafa Garcia,0.52,190.0,1.0,0.0,Chris Gruetzemacher,0.49,146.0,12.0,5.0,"Las Vegas, Nevada, USA",3.0,3.0,Lightweight,0.0,U-DEC,2021.0,4.75,3.26,170.18,70.0,Orthodox,0.38,0.53,0.4,0.42,3.87,0.76,155,1994,14,3,0,0,4.96,6.18,172.72,68.0,Orthodox,0.57,0.52,0.0,0.5,0.21,0.65,155,1986,15,5,0,0,27.0,35.0
UFC Fight Night: Hall vs. Strickland,Collin Anglin,0.49,51.0,1.0,1.0,Melsik Baghdasaryan,0.58,75.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,2.0,Featherweight,0.0,KO/TKO,2021.0,5.54,4.59,175.26,71.0,Orthodox,0.48,0.51,0.0,0.66,2.28,1.0,145,1993,8,3,0,0,3.48,6.0,175.26,70.0,Southpaw,0.62,0.53,0.0,0.0,0.0,0.76,145,1992,7,1,0,0,28.0,29.0
UFC Fight Night: Brunson vs. Till,Charles Jourdain,0.48,214.0,5.0,2.0,Julian Erosa,0.52,163.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Catch Weight,0.0,SUB,2021.0,4.56,5.84,175.26,69.0,Switch,0.49,0.58,0.5,0.16,0.12,0.48,145,1995,13,6,1,0,6.3,6.26,185.42,74.0,Southpaw,0.48,0.48,0.7,0.48,1.73,0.61,145,1989,28,10,0,0,26.0,32.0
UFC Fight Night: Hall vs. Strickland,Niklas Stolze,0.53,13.0,0.0,0.0,Jared Gooden,0.6,23.0,1.0,1.0,"Las Vegas, Nevada, USA",3.0,1.0,Welterweight,0.0,KO/TKO,2021.0,2.25,2.12,185.42,74.0,Switch,0.48,0.49,0.7,1.0,0.66,0.55,155,1992,12,6,0,0,7.59,5.16,182.88,77.0,Orthodox,0.45,0.49,0.0,1.0,0.65,0.85,170,1993,18,7,0,0,29.0,28.0
UFC 265: Lewis vs. Gane,Victoria Leonardo,0.47,91.0,3.0,0.0,Melissa Gatto,0.57,121.0,5.0,1.0,"Houston, Texas, USA",3.0,2.0,Women's Flyweight,0.0,KO/TKO,2021.0,4.56,3.33,165.1,64.0,Orthodox,0.39,0.44,0.0,0.29,1.71,0.71,125,1990,9,5,0,0,2.6,3.27,165.1,69.0,Orthodox,0.51,0.53,0.4,0.33,1.68,0.7,125,1996,8,1,2,0,31.0,25.0
UFC 265: Lewis vs. Gane,Jamey Simmons,0.19,71.0,3.0,2.0,Johnny Munoz,0.18,37.0,0.0,0.0,"Houston, Texas, USA",3.0,2.0,Bantamweight,0.0,SUB,2021.0,1.92,0.79,167.64000000000001,70.0,Orthodox,0.21,0.74,0.0,0.0,0.0,0.5,135,1992,7,4,0,0,2.3,3.69,175.26,71.0,Orthodox,0.37,0.64,1.6,0.25,2.32,0.66,135,1993,12,2,0,0,29.0,28.0
UFC Fight Night: Brunson vs. Till,Dalcha Lungiambula,0.39,217.0,5.0,2.0,Marc-Andre Barriault,0.4,289.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Middleweight,0.0,U-DEC,2021.0,3.93,3.07,172.72,76.0,Orthodox,0.45,0.52,0.0,0.45,2.14,0.77,185,1987,11,6,0,0,4.83,5.35,185.42,74.0,Orthodox,0.46,0.54,0.1,0.25,0.3,0.61,185,1990,14,6,0,1,34.0,31.0
UFC Fight Night: Brunson vs. Till,Luigi Vendramini,0.58,81.0,2.0,0.0,Paddy Pimblett,0.49,51.0,1.0,1.0,"Las Vegas, Nevada, USA",3.0,1.0,Lightweight,0.0,KO/TKO,2021.0,3.82,2.82,172.72,73.0,Orthodox,0.4,0.57,0.6,0.15,1.11,1.0,155,1996,9,3,0,0,3.42,4.19,177.8,73.0,Orthodox,0.46,0.42,2.4,0.25,0.97,0.56,155,1995,20,3,0,0,25.0,26.0
UFC Fight Night: Brunson vs. Till,Jack Shore,0.59,155.0,8.0,2.0,Liudvik Sholinian,0.2,92.0,4.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Bantamweight,1.0,U-DEC,2021.0,2.34,3.96,172.72,71.0,Orthodox,0.58,0.57,0.6,0.39,3.66,0.8,135,1995,16,1,0,0,5.67,2.5,177.8,71.0,Orthodox,0.3,0.55,0.0,0.0,0.0,0.66,135,1990,9,4,1,0,26.0,31.0
UFC Fight Night: Brunson vs. Till,Darren Till,0.48,84.0,6.0,3.0,Derek Brunson,0.52,50.0,0.0,0.0,"Las Vegas, Nevada, USA",5.0,3.0,Middleweight,0.0,SUB,2021.0,3.31,2.3,182.88,74.0,Southpaw,0.46,0.56,0.0,0.46,0.55,0.69,185,1992,18,5,1,0,2.84,3.5,185.42,77.0,Southpaw,0.47,0.52,0.6,0.33,3.23,0.89,185,1984,23,8,0,0,29.0,37.0
UFC Fight Night: Brunson vs. Till,Modestas Bukauskas,0.46,49.0,0.0,0.0,Khalil Rountree Jr.,0.41,92.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,2.0,Light Heavyweight,0.0,KO/TKO,2021.0,4.54,3.59,190.5,78.0,Switch,0.37,0.52,0.0,0.0,0.0,1.0,205,1994,11,5,0,0,4.19,3.67,185.42,76.0,Southpaw,0.38,0.5,0.1,0.0,0.0,0.54,205,1990,12,5,0,1,27.0,31.0
UFC Fight Night: Brunson vs. Till,Molly McCann,0.46,272.0,3.0,2.0,Ji Yeon Kim,0.33,361.0,2.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Women's Flyweight,1.0,U-DEC,2021.0,4.9,5.72,162.56,62.0,Orthodox,0.5,0.63,0.5,0.35,1.67,0.44,125,1990,13,5,0,0,5.77,5.79,170.18,72.0,Orthodox,0.36,0.56,0.0,0.0,0.0,0.42,125,1989,9,6,2,0,31.0,32.0
UFC Fight Night: Brunson vs. Till,Tom Aspinall,0.61,26.0,0.0,0.0,Serghei Spivac,0.0,11.0,2.0,0.0,"Las Vegas, Nevada, USA",3.0,1.0,Heavyweight,1.0,KO/TKO,2021.0,2.87,7.41,195.57999999999998,78.0,Orthodox,0.65,0.64,2.0,1.0,4.0,1.0,256,1993,12,3,0,0,2.96,3.79,190.5,78.0,Orthodox,0.51,0.55,0.4,0.63,4.09,0.7,260,1995,15,3,0,0,28.0,26.0
UFC Fight Night: Brunson vs. Till,David Zawada,0.42,213.0,0.0,0.0,Alex Morono,0.41,205.0,2.0,1.0,"Las Vegas, Nevada, USA",3.0,3.0,Welterweight,0.0,U-DEC,2021.0,4.54,3.84,182.88,75.0,Orthodox,0.41,0.55,1.7,0.33,0.97,0.57,170,1990,17,7,0,0,4.09,5.22,180.34,72.0,Orthodox,0.42,0.57,0.3,0.2,0.3,0.53,170,1990,22,8,0,1,31.0,31.0
UFC Fight Night: Cannonier vs. Gastelum,Ignacio Bahamondes,0.32,168.0,12.0,0.0,Roosevelt Roberts,0.46,228.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Lightweight,1.0,KO/TKO,2021.0,5.03,8.33,190.5,75.0,Orthodox,0.47,0.58,0.6,0.0,0.0,0.95,155,1997,13,4,0,0,3.12,3.14,187.96,73.0,Orthodox,0.44,0.53,0.9,0.29,1.44,0.58,155,1994,10,3,0,1,24.0,27.0
UFC Fight Night: Cannonier vs. Gastelum,William Knight,0.58,24.0,0.0,0.0,Fabio Cherant,0.65,23.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,1.0,Light Heavyweight,1.0,KO/TKO,2021.0,2.99,2.95,177.8,73.0,Orthodox,0.59,0.32,0.5,0.44,2.07,0.48,205,1988,11,4,0,0,4.89,1.35,185.42,74.0,Southpaw,0.4,0.38,0.0,0.0,0.0,0.0,205,1994,7,4,0,0,33.0,27.0
UFC Fight Night: Cannonier vs. Gastelum,Ramiz Brahimaj,1.0,1.0,0.0,0.0,Sasha Palatnikov,0.5,2.0,2.0,2.0,"Las Vegas, Nevada, USA",3.0,1.0,Welterweight,1.0,SUB,2021.0,4.08,2.47,177.8,72.0,Orthodox,0.41,0.5,2.4,0.66,1.9,0.58,170,1992,10,4,0,0,5.44,6.69,185.42,72.0,Switch,0.53,0.52,0.0,1.0,0.72,0.7,170,1989,6,4,0,0,29.0,32.0
UFC Fight Night: Cannonier vs. Gastelum,Brandon Royval,0.55,40.0,6.0,3.0,Alexandre Pantoja,0.27,61.0,1.0,1.0,"Las Vegas, Nevada, USA",3.0,2.0,Flyweight,0.0,SUB,2021.0,2.72,3.32,175.26,68.0,Southpaw,0.36,0.5,2.4,1.0,0.7,0.39,125,1992,14,6,0,0,3.38,4.25,165.1,67.0,Orthodox,0.48,0.54,1.2,0.4,1.37,0.67,125,1990,25,5,0,0,29.0,31.0
UFC Fight Night: Cannonier vs. Gastelum,Domingo Pilarte,0.7,40.0,3.0,3.0,Brian Kelleher,0.27,11.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Bantamweight,0.0,U-DEC,2021.0,2.96,1.31,182.88,73.0,Southpaw,0.47,0.4,0.8,0.42,1.2,0.54,135,1990,8,3,0,1,4.61,3.36,167.64000000000001,66.0,Switch,0.41,0.54,0.7,0.42,1.79,0.6,135,1986,24,14,0,0,31.0,35.0
UFC Fight Night: Cannonier vs. Gastelum,Austin Hubbard,0.44,160.0,4.0,0.0,Vinc Pichel,0.36,152.0,7.0,4.0,"Las Vegas, Nevada, USA",3.0,3.0,Lightweight,0.0,U-DEC,2021.0,2.97,3.67,177.8,71.0,Orthodox,0.47,0.58,0.0,0.61,1.35,0.63,155,1991,13,6,0,0,2.5,3.56,177.8,72.0,Orthodox,0.47,0.58,0.2,0.54,3.0,0.23,155,1982,14,3,0,0,30.0,39.0
UFC Fight Night: Cannonier vs. Gastelum,Saidyokub Kakhramonov,0.38,31.0,8.0,1.0,Trevin Jones,0.55,65.0,7.0,2.0,"Las Vegas, Nevada, USA",3.0,3.0,Bantamweight,1.0,SUB,2021.0,0.91,2.29,172.72,69.0,Orthodox,0.54,0.57,2.0,0.52,6.07,0.8,135,1995,10,2,0,0,4.96,2.33,170.18,70.0,Southpaw,0.38,0.4,0.0,0.11,0.52,0.66,135,1990,13,9,0,1,26.0,31.0
UFC Fight Night: Cannonier vs. Gastelum,Bea Malecki,0.42,82.0,0.0,0.0,Josiane Nunes,0.4,129.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,1.0,Women's Bantamweight,0.0,KO/TKO,2021.0,6.96,6.84,175.26,74.0,Orthodox,0.46,0.62,1.1,0.0,0.0,0.78,135,1991,4,1,0,0,4.37,7.54,157.48000000000002,67.0,Southpaw,0.42,0.52,0.0,0.0,0.0,0.7,145,1993,9,1,0,0,30.0,28.0
UFC Fight Night: Cannonier vs. Gastelum,Austin Lingo,0.4,181.0,0.0,0.0,Luis Saldana,0.48,160.0,5.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Featherweight,1.0,U-DEC,2021.0,3.82,4.0,177.8,70.0,Orthodox,0.42,0.58,0.0,0.66,0.67,0.8,145,1994,9,1,0,0,3.65,5.16,180.34,73.0,Orthodox,0.5,0.6,0.2,0.17,0.64,0.44,145,1991,16,7,1,0,27.0,30.0
UFC Fight Night: Cannonier vs. Gastelum,Parker Porter,0.53,278.0,8.0,1.0,Chase Sherman,0.46,249.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Heavyweight,1.0,U-DEC,2021.0,6.32,6.49,182.88,75.0,Orthodox,0.49,0.52,0.5,0.28,1.45,0.5,265,1985,13,7,0,0,6.85,6.3,193.04,78.0,Orthodox,0.46,0.51,0.0,0.5,0.1,0.66,250,1989,16,11,0,0,36.0,32.0
UFC Fight Night: Cannonier vs. Gastelum,Mark Madsen,0.33,212.0,0.0,0.0,Clay Guida,0.51,192.0,1.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Lightweight,1.0,S-DEC,2021.0,3.67,3.24,172.72,72.0,Orthodox,0.47,0.53,0.0,0.66,3.09,0.62,155,1984,12,1,0,0,2.8,2.58,170.18,70.0,Orthodox,0.34,0.62,0.7,0.37,3.27,0.68,155,1981,38,19,0,0,37.0,40.0
UFC 265: Lewis vs. Gane,Ode Osbourne,0.65,29.0,0.0,0.0,Manel Kape,0.47,38.0,0.0,0.0,"Houston, Texas, USA",3.0,1.0,Flyweight,0.0,KO/TKO,2021.0,4.93,4.84,170.18,73.0,Southpaw,0.43,0.43,0.5,0.25,0.95,0.66,125,1992,11,5,0,1,4.59,4.69,165.1,68.0,Southpaw,0.53,0.51,0.0,0.28,0.77,0.8,125,1993,17,6,0,0,29.0,28.0
UFC 265: Lewis vs. Gane,Jessica Penne,0.66,12.0,1.0,1.0,Karolina Kowalkiewicz,0.63,19.0,1.0,1.0,"Houston, Texas, USA",3.0,1.0,Women's Strawweight,1.0,SUB,2021.0,4.74,2.62,165.1,67.0,Orthodox,0.32,0.47,0.6,0.21,1.39,0.4,115,1983,14,7,0,0,5.55,5.34,160.02,64.0,Orthodox,0.4,0.57,0.2,0.3,0.34,0.75,115,1985,14,7,0,0,38.0,36.0
UFC Fight Night: Cannonier vs. Gastelum,Jared Cannonier,0.39,207.0,0.0,0.0,Kelvin Gastelum,0.36,246.0,8.0,0.0,"Las Vegas, Nevada, USA",5.0,5.0,Middleweight,1.0,U-DEC,2021.0,3.5,3.73,180.34,77.0,Switch,0.51,0.61,0.0,0.25,0.19,0.65,185,1984,15,6,0,0,3.24,3.53,175.26,71.0,Southpaw,0.41,0.57,0.1,0.32,1.05,0.62,185,1991,17,8,0,1,37.0,30.0
UFC 265: Lewis vs. Gane,Miles Johns,0.67,118.0,0.0,0.0,Anderson Dos Santos,0.19,164.0,5.0,0.0,"Houston, Texas, USA",3.0,3.0,Bantamweight,1.0,KO/TKO,2021.0,2.85,3.63,170.18,66.0,Orthodox,0.48,0.69,0.0,0.19,0.86,0.92,135,1994,13,2,0,0,5.37,2.7,165.1,70.0,Orthodox,0.25,0.49,0.7,0.14,0.98,0.66,135,1985,21,9,0,0,27.0,36.0
UFC 265: Lewis vs. Gane,Ed Herman,0.66,140.0,1.0,1.0,Alonzo Menifield,0.32,126.0,0.0,0.0,"Houston, Texas, USA",3.0,3.0,Light Heavyweight,0.0,U-DEC,2021.0,3.52,3.28,185.42,77.0,Orthodox,0.48,0.42,1.1,0.48,2.08,0.59,205,1980,27,15,0,1,3.24,3.91,182.88,76.0,Orthodox,0.56,0.52,0.2,0.3,0.81,0.85,205,1987,13,3,0,0,41.0,34.0
UFC 265: Lewis vs. Gane,Song Yadong,0.45,257.0,3.0,0.0,Casey Kenney,0.41,190.0,5.0,1.0,"Houston, Texas, USA",3.0,3.0,Bantamweight,1.0,S-DEC,2021.0,3.93,4.55,172.72,67.0,Orthodox,0.41,0.59,0.2,0.55,0.63,0.71,135,1997,19,7,1,1,4.67,4.85,170.18,68.0,Southpaw,0.42,0.58,0.4,0.35,1.09,0.61,135,1991,16,4,1,0,24.0,30.0
UFC 265: Lewis vs. Gane,Rafael Fiziev,0.54,263.0,2.0,0.0,Bobby Green,0.46,223.0,0.0,0.0,"Houston, Texas, USA",3.0,3.0,Lightweight,1.0,U-DEC,2021.0,4.86,4.81,172.72,71.0,Switch,0.5,0.5,0.0,0.4,0.36,0.92,155,1993,12,1,0,0,3.65,5.88,177.8,71.0,Orthodox,0.52,0.62,0.3,0.38,1.34,0.72,155,1986,29,13,1,0,28.0,35.0
UFC 265: Lewis vs. Gane,Tecia Torres,0.48,298.0,6.0,1.0,Angela Hill,0.51,188.0,7.0,2.0,"Houston, Texas, USA",3.0,3.0,Women's Strawweight,1.0,U-DEC,2021.0,3.59,4.74,154.94,60.0,Orthodox,0.48,0.61,0.1,0.14,0.66,0.61,115,1989,13,6,0,0,4.97,5.68,160.02,64.0,Orthodox,0.49,0.62,0.1,0.29,0.58,0.77,115,1985,15,12,0,0,32.0,36.0
UFC 265: Lewis vs. Gane,Vince Morales,0.38,196.0,4.0,1.0,Drako Rodriguez,0.36,151.0,5.0,3.0,"Houston, Texas, USA",3.0,3.0,Bantamweight,1.0,U-DEC,2021.0,4.24,4.17,175.26,70.0,Orthodox,0.37,0.53,0.0,0.25,0.14,0.64,135,1990,11,7,0,0,4.4,3.37,172.72,69.0,Orthodox,0.36,0.58,0.7,0.66,2.93,0.75,135,1996,7,3,0,0,31.0,25.0
UFC 265: Lewis vs. Gane,Vicente Luque,0.33,12.0,1.0,1.0,Michael Chiesa,0.58,12.0,0.0,0.0,"Houston, Texas, USA",3.0,1.0,Welterweight,1.0,SUB,2021.0,5.51,5.49,180.34,76.0,Orthodox,0.52,0.52,0.8,0.5,0.51,0.61,170,1991,21,9,1,0,1.67,1.88,185.42,75.0,Southpaw,0.41,0.54,1.0,0.54,3.39,0.6,170,1987,18,6,0,0,30.0,34.0
UFC Fight Night: Smith vs. Spann,Hannah Goldy,0.38,13.0,2.0,2.0,Emily Whitmire,0.45,22.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,1.0,Women's Flyweight,1.0,SUB,2021.0,4.95,5.78,162.56,61.0,Orthodox,0.46,0.51,0.3,0.18,0.56,0.55,115,1992,6,3,0,0,2.98,2.5,165.1,63.0,Orthodox,0.31,0.54,0.5,0.66,1.9,0.7,125,1991,4,5,0,0,29.0,30.0
UFC 265: Lewis vs. Gane,Jose Aldo,0.51,223.0,0.0,0.0,Pedro Munhoz,0.41,179.0,0.0,0.0,"Houston, Texas, USA",3.0,3.0,Bantamweight,1.0,U-DEC,2021.0,3.74,3.57,170.18,70.0,Orthodox,0.46,0.6,0.1,0.54,0.49,0.91,135,1986,31,8,0,0,5.96,5.4,167.64000000000001,65.0,Orthodox,0.44,0.58,0.6,0.2,0.55,0.81,135,1986,19,7,0,2,35.0,35.0
UFC Fight Night: Smith vs. Spann,Carlston Harris,0.28,21.0,0.0,0.0,Impa Kasanganay,0.52,46.0,1.0,0.0,"Las Vegas, Nevada, USA",3.0,1.0,Welterweight,1.0,KO/TKO,2021.0,2.07,4.03,182.88,76.0,Orthodox,0.45,0.66,1.6,0.0,0.0,0.75,170,1987,17,5,0,0,3.66,4.96,180.34,75.0,Orthodox,0.48,0.58,0.2,0.58,1.75,0.66,170,1994,9,2,0,0,34.0,27.0
UFC Fight Night: Smith vs. Spann,Alatengheili,0.38,115.0,8.0,3.0,Gustavo Lopez,0.3,118.0,1.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Bantamweight,0.0,U-DEC,2021.0,4.58,2.94,165.1,66.0,Orthodox,0.33,0.61,0.0,0.39,1.78,0.72,135,1991,16,8,2,0,3.87,2.48,165.1,67.0,Orthodox,0.4,0.57,0.7,0.41,1.74,0.31,135,1989,12,6,1,0,30.0,32.0
UFC 265: Lewis vs. Gane,Ciryl Gane,0.43,37.0,1.0,0.0,Derrick Lewis,0.8,122.0,1.0,0.0,"Houston, Texas, USA",5.0,3.0,Heavyweight,1.0,KO/TKO,2021.0,2.25,5.11,193.04,81.0,Orthodox,0.59,0.62,0.5,0.21,0.62,0.55,245,1990,11,1,0,0,2.57,2.57,190.5,79.0,Orthodox,0.5,0.41,0.0,0.28,0.6,0.55,260,1985,26,10,0,1,31.0,36.0
UFC Fight Night: Smith vs. Spann,Joaquin Buckley,0.4,102.0,6.0,1.0,Antonio Arroyo,0.45,46.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Middleweight,1.0,KO/TKO,2021.0,3.53,3.87,177.8,76.0,Southpaw,0.32,0.55,0.0,0.3,1.23,0.66,185,1994,15,6,0,0,2.02,2.82,190.5,73.0,Orthodox,0.66,0.5,0.2,0.41,1.14,0.41,185,1989,9,5,0,0,27.0,32.0
UFC Fight Night: Smith vs. Spann,Rong Zhu,0.64,134.0,8.0,6.0,Brandon Jenkins,0.39,105.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Lightweight,1.0,KO/TKO,2021.0,6.38,4.27,175.26,71.0,Orthodox,0.47,0.44,0.0,0.62,3.64,1.0,155,2000,21,5,0,0,8.05,2.93,182.88,71.0,Switch,0.41,0.33,0.0,0.0,0.0,0.27,155,1991,15,9,0,0,21.0,30.0
UFC Fight Night: Smith vs. Spann,Montel Jackson,0.58,43.0,5.0,4.0,JP Buys,0.33,24.0,7.0,1.0,"Las Vegas, Nevada, USA",3.0,3.0,Bantamweight,1.0,U-DEC,2021.0,1.4,3.39,177.8,75.0,Southpaw,0.54,0.63,0.3,0.71,3.54,0.67,135,1992,12,2,0,0,3.02,1.89,165.1,67.0,Orthodox,0.44,0.39,2.5,0.26,1.65,0.25,125,1996,9,5,0,0,29.0,25.0
UFC Fight Night: Smith vs. Spann,Raquel Pennington,0.51,98.0,2.0,1.0,Pannie Kianzad,0.6,79.0,3.0,1.0,"Las Vegas, Nevada, USA",3.0,3.0,Women's Bantamweight,1.0,U-DEC,2021.0,3.28,3.93,170.18,67.0,Orthodox,0.5,0.62,0.7,0.28,1.0,0.63,135,1988,14,9,0,0,4.12,5.32,170.18,66.0,Orthodox,0.49,0.53,0.1,0.3,0.4,0.8,135,1991,17,6,0,0,33.0,30.0
UFC Fight Night: Smith vs. Spann,Erin Blanchfield,0.57,210.0,3.0,3.0,Sarah Alpar,0.36,113.0,1.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Women's Flyweight,1.0,U-DEC,2021.0,2.45,5.79,162.56,66.0,Orthodox,0.57,0.61,1.4,0.68,4.0,0.75,125,1999,10,1,0,0,6.06,2.36,162.56,63.0,Southpaw,0.44,0.38,0.4,0.26,1.61,0.2,135,1991,9,6,0,0,22.0,30.0
UFC Fight Night: Smith vs. Spann,Arman Tsarukyan,0.7,31.0,1.0,0.0,Christos Giagos,0.16,6.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,1.0,Lightweight,1.0,KO/TKO,2021.0,1.86,3.76,170.18,72.0,Orthodox,0.45,0.54,0.0,0.33,2.71,0.75,155,1996,18,3,0,0,2.87,2.81,177.8,71.0,Orthodox,0.41,0.48,0.4,0.41,3.21,0.52,155,1990,19,10,0,0,25.0,31.0
