card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fights_location,round_format,round_fought,weight_class,winner,winning_method,fight_year,SApM_f1,SLpM_f1,height_f1,reach_f1,stance_f1,strAcc_f1,strDef_f1,subAvg_f1,tdAcc_f1,tdAvg_f1,tdDef_f1,weight_f1,birth_year_f1,win_f1,lose_f1,draw_f1,nc_f1,SApM_f2,SLpM_f2,height_f2,reach_f2,stance_f2,strAcc_f2,strDef_f2,subAvg_f2,tdAcc_f2,tdAvg_f2,tdDef_f2,weight_f2,birth_year_f2,win_f2,lose_f2,draw_f2,nc_f2,f1_age_when_fight,f2_age_when_fight
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Kendall Grove,0.61,96.0,0.0,0.0,Evan Tanner,0.57,47.0,8.0,3.0,"Las Vegas, Nevada, USA",3.0,3.0,Middleweight,1.0,S-DEC,2008.0,3.05,3.17,175.26,71.0,Orthodox,0.4,0.58,0.4,0.38,1.16,0.65,145,1986,28,19,0,1,3.03,3.17,170.18,68.0,Southpaw,0.43,0.64,0.8,0.3,0.67,0.6,155,1976,24,9,0,0,22.0,32.0
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Matthew Riddle,0.75,80.0,6.0,5.0,Dante Rivera,0.53,64.0,5.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Middleweight,1.0,U-DEC,2008.0,2.4,2.31,198.12,79.0,Orthodox,0.41,0.54,1.7,0.45,0.49,0.56,185,1982,23,17,0,1,2.64,3.05,182.88,74.0,Orthodox,0.59,0.56,1.3,0.43,2.55,0.25,185,1971,32,8,0,0,26.0,37.0
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Diego Sanchez,0.43,116.0,8.0,0.0,Luigi Fioravanti,0.33,80.0,3.0,1.0,"Las Vegas, Nevada, USA",3.0,3.0,Welterweight,1.0,KO/TKO,2008.0,2.74,3.01,185.42,76.0,Southpaw,0.42,0.54,0.5,0.5,3.51,0.89,170,1986,8,3,0,2,4.0,2.27,185.42,75.0,Southpaw,0.53,0.25,0.0,0.0,0.0,0.16,185,1974,16,7,0,0,22.0,34.0
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,CB Dollaway,0.4,5.0,0.0,0.0,Amir Sadollah,0.37,16.0,1.0,1.0,"Las Vegas, Nevada, USA",3.0,1.0,Middleweight,0.0,SUB,2008.0,3.02,2.69,177.8,72.0,Southpaw,0.37,0.56,0.8,0.24,1.51,0.46,170,1981,31,13,0,0,2.21,2.23,172.72,70.0,Orthodox,0.42,0.69,0.9,0.63,3.76,0.67,170,1981,26,15,0,0,27.0,27.0
UFC 88: Breakthrough,Martin Kampmann,0.61,36.0,0.0,0.0,Nate Marquardt,0.14,7.0,0.0,0.0,"Atlanta, Georgia, USA",3.0,1.0,Middleweight,0.0,KO/TKO,2008.0,2.58,2.65,187.96,76.0,Orthodox,0.47,0.54,1.2,0.54,3.55,0.62,185,1983,17,9,0,0,3.55,4.71,177.8,75.0,Orthodox,0.46,0.6,0.3,0.27,0.57,0.6,170,1980,6,5,0,0,25.0,28.0
UFC 88: Breakthrough,Dan Henderson,0.51,82.0,0.0,0.0,Rousimar Palhares,0.42,63.0,16.0,2.0,"Atlanta, Georgia, USA",3.0,3.0,Middleweight,1.0,U-DEC,2008.0,3.28,3.22,182.88,72.0,Orthodox,0.42,0.62,2.0,0.41,1.86,0.78,170,1982,20,7,0,0,2.32,2.71,182.88,74.0,Orthodox,0.49,0.55,0.8,0.51,1.87,0.7,185,1979,35,19,2,0,26.0,29.0
UFC 87: Seek And Destroy,Andre Gusmao,0.41,102.0,5.0,2.0,Jon Jones,0.4,84.0,1.0,0.0,"Minneapolis, Minnesota, USA",3.0,3.0,Light Heavyweight,0.0,U-DEC,2008.0,2.7,2.44,180.34,74.0,Orthodox,0.47,0.51,0.3,0.52,1.52,0.57,185,1970,32,15,0,0,2.04,1.75,172.72,71.0,Orthodox,0.51,0.59,4.1,0.45,3.93,0.0,170,1980,19,8,0,0,38.0,28.0
UFC 87: Seek And Destroy,Chris Wilson,0.65,72.0,2.0,2.0,Steve Bruno,0.27,18.0,13.0,1.0,"Minneapolis, Minnesota, USA",3.0,3.0,Welterweight,1.0,U-DEC,2008.0,3.28,2.79,182.88,74.0,Orthodox,0.43,0.6,0.0,0.0,0.0,0.6,205,1977,6,3,0,0,2.22,4.3,193.04,84.0,Orthodox,0.57,0.64,0.4,0.44,1.85,0.95,205,1987,26,1,0,1,31.0,21.0
UFC 87: Seek And Destroy,Luke Cummo,0.59,44.0,7.0,4.0,Tamdan McCrory,0.44,25.0,2.0,1.0,"Minneapolis, Minnesota, USA",3.0,3.0,Welterweight,0.0,U-DEC,2008.0,1.36,2.32,185.42,75.0,Orthodox,0.5,0.55,1.6,0.5,1.31,0.6,170,1977,18,10,0,1,3.38,0.96,177.8,72.0,Orthodox,0.52,0.36,0.4,0.25,1.94,0.46,170,1981,15,6,0,0,31.0,27.0
UFC 88: Breakthrough,Matt Hamill,0.52,136.0,0.0,0.0,Rich Franklin,0.22,58.0,6.0,1.0,"Atlanta, Georgia, USA",3.0,3.0,Light Heavyweight,0.0,KO/TKO,2008.0,1.5,1.74,182.88,74.0,Orthodox,0.43,0.59,1.4,0.55,0.89,0.42,170,1980,6,6,0,0,1.6,2.07,193.04,76.0,Switch,0.49,0.46,2.5,0.5,2.28,0.33,185,1986,14,5,0,0,28.0,22.0
