card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fight_date,fights_location,round_format,round_fought,weight_class,winner,winning_method
UFC Fight Night: Gane vs. Volkov,Charles Rosa,28%,182,2,2,Justin Jaynes,47%,92,2,2,June 26 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Charles Rosa,S-DEC
UFC Fight Night: Gane vs. Volkov,Damir Hadzovic,47%,219,2,2,Yancy Medeiros,51%,237,3,2,June 26 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Damir Hadzovic,U-DEC
UFC Fight Night: Font vs. Garbrandt,Damir Ismagulov,47%,63,1,0,Rafael Alves,44%,126,3,2,May 22 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Damir Ismagulov,U-DEC
UFC Fight Night: Gane vs. Volkov,Julia Avila,52%,91,4,1,Julija Stoliarenko,42%,94,3,1,June 26 2021,"Las Vegas, Nevada, USA",3,3,Women's Bantamweight,Julia Avila,SUB
UFC Fight Night: Hall vs. Strickland,Jinh Yu Frey,47%,185,1,0,Ashley Yoder,38%,236,8,0,July 31 2021,"Las Vegas, Nevada, USA",3,3,Women's Strawweight,Jinh Yu Frey,U-DEC
UFC Fight Night: Hall vs. Strickland,Phil Rowe,49%,93,0,0,Orion Cosce,42%,52,6,2,July 31 2021,"Las Vegas, Nevada, USA",3,2,Welterweight,Phil Rowe,KO/TKO
UFC Fight Night: Hall vs. Strickland,Jason Witt,44%,113,1,0,Bryan Barberena,42%,83,18,8,July 31 2021,"Las Vegas, Nevada, USA",3,3,Welterweight,Jason Witt,M-DEC
UFC Fight Night: Makhachev vs. Moises,Rodrigo Nascimento,65%,91,0,0,Alan Baudot,59%,83,3,0,July 17 2021,"Las Vegas, Nevada, USA",3,2,Heavyweight,Rodrigo Nascimento,KO/TKO
UFC Fight Night: Hall vs. Strickland,Zarrukh Adashev,28%,129,1,0,Ryan Benoit,54%,143,4,0,July 31 2021,"Las Vegas, Nevada, USA",3,3,Flyweight,Zarrukh Adashev,U-DEC
UFC Fight Night: Hall vs. Strickland,Danny Chavez,37%,110,5,1,Kai Kamaka,62%,77,3,0,July 31 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Danny Chavez,M-DEC
UFC Fight Night: Hall vs. Strickland,Chris Gruetzemacher,52%,190,1,0,Rafa Garcia,49%,146,12,5,July 31 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Chris Gruetzemacher,U-DEC
UFC Fight Night: Hall vs. Strickland,Melsik Baghdasaryan,49%,51,1,1,Collin Anglin,58%,75,0,0,July 31 2021,"Las Vegas, Nevada, USA",3,2,Featherweight,Melsik Baghdasaryan,KO/TKO
UFC Fight Night: Brunson vs. Till,Julian Erosa,48%,214,5,2,Charles Jourdain,52%,163,0,0,September 04 2021,"Las Vegas, Nevada, USA",3,3,Catch Weight,Julian Erosa,SUB
UFC Fight Night: Hall vs. Strickland,Jared Gooden,53%,13,0,0,Niklas Stolze,60%,23,1,1,July 31 2021,"Las Vegas, Nevada, USA",3,1,Welterweight,Jared Gooden,KO/TKO
UFC 265: Lewis vs. Gane,Melissa Gatto,47%,91,3,0,Victoria Leonardo,57%,121,5,1,August 07 2021,"Houston, Texas, USA",3,2,Women's Flyweight,Melissa Gatto,KO/TKO
UFC 265: Lewis vs. Gane,Johnny Munoz,19%,71,3,2,Jamey Simmons,18%,37,0,0,August 07 2021,"Houston, Texas, USA",3,2,Bantamweight,Johnny Munoz,SUB
UFC Fight Night: Brunson vs. Till,Marc-Andre Barriault,39%,217,5,2,Dalcha Lungiambula,40%,289,0,0,September 04 2021,"Las Vegas, Nevada, USA",3,3,Middleweight,Marc-Andre Barriault,U-DEC
UFC Fight Night: Brunson vs. Till,Paddy Pimblett,58%,81,2,0,Luigi Vendramini,49%,51,1,1,September 04 2021,"Las Vegas, Nevada, USA",3,1,Lightweight,Paddy Pimblett,KO/TKO
UFC Fight Night: Brunson vs. Till,Jack Shore,59%,155,8,2,Liudvik Sholinian,20%,92,4,0,September 04 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Jack Shore,U-DEC
UFC Fight Night: Brunson vs. Till,Derek Brunson,48%,84,6,3,Darren Till,52%,50,0,0,September 04 2021,"Las Vegas, Nevada, USA",5,3,Middleweight,Derek Brunson,SUB
UFC Fight Night: Brunson vs. Till,Khalil Rountree Jr.,46%,49,0,0,Modestas Bukauskas,41%,92,0,0,September 04 2021,"Las Vegas, Nevada, USA",3,2,Light Heavyweight,Khalil Rountree Jr.,KO/TKO
UFC Fight Night: Brunson vs. Till,Molly McCann,46%,272,3,2,Ji Yeon Kim,33%,361,2,0,September 04 2021,"Las Vegas, Nevada, USA",3,3,Women's Flyweight,Molly McCann,U-DEC
UFC Fight Night: Brunson vs. Till,Tom Aspinall,61%,26,0,0,Serghei Spivac,0%,11,2,0,September 04 2021,"Las Vegas, Nevada, USA",3,1,Heavyweight,Tom Aspinall,KO/TKO
UFC Fight Night: Brunson vs. Till,Alex Morono,42%,213,0,0,David Zawada,41%,205,2,1,September 04 2021,"Las Vegas, Nevada, USA",3,3,Welterweight,Alex Morono,U-DEC
UFC Fight Night: Cannonier vs. Gastelum,Ignacio Bahamondes,32%,168,12,0,Roosevelt Roberts,46%,228,0,0,August 21 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Ignacio Bahamondes,KO/TKO
UFC Fight Night: Cannonier vs. Gastelum,William Knight,58%,24,0,0,Fabio Cherant,65%,23,0,0,August 21 2021,"Las Vegas, Nevada, USA",3,1,Light Heavyweight,William Knight,KO/TKO
UFC Fight Night: Cannonier vs. Gastelum,Ramiz Brahimaj,100%,1,0,0,Sasha Palatnikov,50%,2,2,2,August 21 2021,"Las Vegas, Nevada, USA",3,1,Welterweight,Ramiz Brahimaj,SUB
UFC Fight Night: Cannonier vs. Gastelum,Alexandre Pantoja,55%,40,6,3,Brandon Royval,27%,61,1,1,August 21 2021,"Las Vegas, Nevada, USA",3,2,Flyweight,Alexandre Pantoja,SUB
UFC Fight Night: Cannonier vs. Gastelum,Brian Kelleher,70%,40,3,3,Domingo Pilarte,27%,11,0,0,August 21 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Brian Kelleher,U-DEC
UFC Fight Night: Cannonier vs. Gastelum,Vinc Pichel,44%,160,4,0,Austin Hubbard,36%,152,7,4,August 21 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Vinc Pichel,U-DEC
UFC Fight Night: Cannonier vs. Gastelum,Saidyokub Kakhramonov,38%,31,8,1,Trevin Jones,55%,65,7,2,August 21 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Saidyokub Kakhramonov,SUB
UFC Fight Night: Cannonier vs. Gastelum,Josiane Nunes,42%,82,0,0,Bea Malecki,40%,129,0,0,August 21 2021,"Las Vegas, Nevada, USA",3,1,Women's Bantamweight,Josiane Nunes,KO/TKO
UFC Fight Night: Cannonier vs. Gastelum,Austin Lingo,40%,181,0,0,Luis Saldana,48%,160,5,0,August 21 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Austin Lingo,U-DEC
UFC Fight Night: Cannonier vs. Gastelum,Parker Porter,53%,278,8,1,Chase Sherman,46%,249,0,0,August 21 2021,"Las Vegas, Nevada, USA",3,3,Heavyweight,Parker Porter,U-DEC
UFC Fight Night: Cannonier vs. Gastelum,Mark Madsen,33%,212,0,0,Clay Guida,51%,192,1,0,August 21 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Mark Madsen,S-DEC
UFC 265: Lewis vs. Gane,Manel Kape,65%,29,0,0,Ode Osbourne,47%,38,0,0,August 07 2021,"Houston, Texas, USA",3,1,Flyweight,Manel Kape,KO/TKO
UFC 265: Lewis vs. Gane,Jessica Penne,66%,12,1,1,Karolina Kowalkiewicz,63%,19,1,1,August 07 2021,"Houston, Texas, USA",3,1,Women's Strawweight,Jessica Penne,SUB
UFC Fight Night: Cannonier vs. Gastelum,Jared Cannonier,39%,207,0,0,Kelvin Gastelum,36%,246,8,0,August 21 2021,"Las Vegas, Nevada, USA",5,5,Middleweight,Jared Cannonier,U-DEC
UFC 265: Lewis vs. Gane,Miles Johns,67%,118,0,0,Anderson Dos Santos,19%,164,5,0,August 07 2021,"Houston, Texas, USA",3,3,Bantamweight,Miles Johns,KO/TKO
UFC 265: Lewis vs. Gane,Alonzo Menifield,66%,140,1,1,Ed Herman,32%,126,0,0,August 07 2021,"Houston, Texas, USA",3,3,Light Heavyweight,Alonzo Menifield,U-DEC
UFC 265: Lewis vs. Gane,Song Yadong,45%,257,3,0,Casey Kenney,41%,190,5,1,August 07 2021,"Houston, Texas, USA",3,3,Bantamweight,Song Yadong,S-DEC
UFC 265: Lewis vs. Gane,Rafael Fiziev,54%,263,2,0,Bobby Green,46%,223,0,0,August 07 2021,"Houston, Texas, USA",3,3,Lightweight,Rafael Fiziev,U-DEC
UFC 265: Lewis vs. Gane,Tecia Torres,48%,298,6,1,Angela Hill,51%,188,7,2,August 07 2021,"Houston, Texas, USA",3,3,Women's Strawweight,Tecia Torres,U-DEC
UFC 265: Lewis vs. Gane,Vince Morales,38%,196,4,1,Drako Rodriguez,36%,151,5,3,August 07 2021,"Houston, Texas, USA",3,3,Bantamweight,Vince Morales,U-DEC
UFC 265: Lewis vs. Gane,Vicente Luque,33%,12,1,1,Michael Chiesa,58%,12,0,0,August 07 2021,"Houston, Texas, USA",3,1,Welterweight,Vicente Luque,SUB
UFC Fight Night: Smith vs. Spann,Hannah Goldy,38%,13,2,2,Emily Whitmire,45%,22,0,0,September 18 2021,"Las Vegas, Nevada, USA",3,1,Women's Flyweight,Hannah Goldy,SUB
UFC 265: Lewis vs. Gane,Jose Aldo,51%,223,0,0,Pedro Munhoz,41%,179,0,0,August 07 2021,"Houston, Texas, USA",3,3,Bantamweight,Jose Aldo,U-DEC
UFC Fight Night: Smith vs. Spann,Carlston Harris,28%,21,0,0,Impa Kasanganay,52%,46,1,0,September 18 2021,"Las Vegas, Nevada, USA",3,1,Welterweight,Carlston Harris,KO/TKO
UFC Fight Night: Smith vs. Spann,Gustavo Lopez,38%,115,8,3,Alatengheili,30%,118,1,0,September 18 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Gustavo Lopez,U-DEC
UFC 265: Lewis vs. Gane,Ciryl Gane,43%,37,1,0,Derrick Lewis,80%,122,1,0,August 07 2021,"Houston, Texas, USA",5,3,Heavyweight,Ciryl Gane,KO/TKO
UFC Fight Night: Smith vs. Spann,Joaquin Buckley,40%,102,6,1,Antonio Arroyo,45%,46,0,0,September 18 2021,"Las Vegas, Nevada, USA",3,3,Middleweight,Joaquin Buckley,KO/TKO
UFC Fight Night: Smith vs. Spann,Rong Zhu,64%,134,8,6,Brandon Jenkins,39%,105,0,0,September 18 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Rong Zhu,KO/TKO
UFC Fight Night: Smith vs. Spann,Montel Jackson,58%,43,5,4,JP Buys,33%,24,7,1,September 18 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Montel Jackson,U-DEC
UFC Fight Night: Smith vs. Spann,Raquel Pennington,51%,98,2,1,Pannie Kianzad,60%,79,3,1,September 18 2021,"Las Vegas, Nevada, USA",3,3,Women's Bantamweight,Raquel Pennington,U-DEC
UFC Fight Night: Smith vs. Spann,Erin Blanchfield,57%,210,3,3,Sarah Alpar,36%,113,1,0,September 18 2021,"Las Vegas, Nevada, USA",3,3,Women's Flyweight,Erin Blanchfield,U-DEC
UFC Fight Night: Smith vs. Spann,Arman Tsarukyan,70%,31,1,0,Christos Giagos,16%,6,0,0,September 18 2021,"Las Vegas, Nevada, USA",3,1,Lightweight,Arman Tsarukyan,KO/TKO
UFC Fight Night: Smith vs. Spann,Tafon Nchukwi,34%,144,0,0,Mike Rodriguez,58%,199,3,3,September 18 2021,"Las Vegas, Nevada, USA",3,3,Light Heavyweight,Tafon Nchukwi,U-DEC
UFC Fight Night: Smith vs. Spann,Nate Maness,49%,63,1,1,Tony Gravely,52%,68,6,1,September 18 2021,"Las Vegas, Nevada, USA",3,2,Bantamweight,Nate Maness,KO/TKO
UFC Fight Night: Smith vs. Spann,Ariane Lipski,44%,194,1,0,Mandy Bohm,33%,108,4,0,September 18 2021,"Las Vegas, Nevada, USA",3,3,Women's Flyweight,Ariane Lipski,U-DEC
UFC Fight Night: Smith vs. Spann,Ion Cutelaba,63%,101,12,8,Devin Clark,44%,52,6,1,September 18 2021,"Las Vegas, Nevada, USA",3,3,Light Heavyweight,Ion Cutelaba,U-DEC
UFC Fight Night: Smith vs. Spann,Anthony Smith,60%,28,0,0,Ryan Spann,40%,20,1,0,September 18 2021,"Las Vegas, Nevada, USA",5,1,Light Heavyweight,Anthony Smith,SUB
UFC Fight Night: Barboza vs. Chikadze,Mana Martinez,50%,157,3,2,Guido Cannetti,60%,109,0,0,August 28 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Mana Martinez,S-DEC
UFC Fight Night: Barboza vs. Chikadze,Pat Sabatini,71%,14,0,0,Jamall Emmers,11%,9,1,0,August 28 2021,"Las Vegas, Nevada, USA",3,1,Featherweight,Pat Sabatini,SUB
UFC Fight Night: Barboza vs. Chikadze,Dustin Jacoby,60%,61,1,0,Darren Stewart,54%,33,2,2,August 28 2021,"Las Vegas, Nevada, USA",3,1,Light Heavyweight,Dustin Jacoby,KO/TKO
UFC Fight Night: Barboza vs. Chikadze,JJ Aldrich,69%,134,2,1,Vanessa Demopoulos,43%,162,5,0,August 28 2021,"Las Vegas, Nevada, USA",3,3,Women's Flyweight,JJ Aldrich,U-DEC
UFC Fight Night: Barboza vs. Chikadze,Abdul Razak Alhassan,50%,2,0,0,Alessio Di Chirico,100%,1,0,0,August 28 2021,"Las Vegas, Nevada, USA",3,1,Middleweight,Abdul Razak Alhassan,KO/TKO
UFC Fight Night: Barboza vs. Chikadze,Andre Petroski,57%,80,9,4,Micheal Gillmore,59%,52,0,0,August 28 2021,"Las Vegas, Nevada, USA",3,3,Middleweight,Andre Petroski,KO/TKO
UFC Fight Night: Barboza vs. Chikadze,Wellington Turman,55%,122,0,0,Sam Alvey,57%,119,9,2,August 28 2021,"Las Vegas, Nevada, USA",3,3,Middleweight,Wellington Turman,S-DEC
UFC Fight Night: Barboza vs. Chikadze,Daniel Rodriguez,35%,160,7,3,Kevin Lee,57%,210,0,0,August 28 2021,"Las Vegas, Nevada, USA",3,3,Welterweight,Daniel Rodriguez,U-DEC
UFC Fight Night: Barboza vs. Chikadze,Ricky Turcios,58%,171,4,2,Brady Hiestand,49%,134,11,6,August 28 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Ricky Turcios,S-DEC
UFC Fight Night: Barboza vs. Chikadze,Bryan Battle,52%,87,1,1,Gilbert Urbina,59%,76,6,2,August 28 2021,"Las Vegas, Nevada, USA",3,2,Middleweight,Bryan Battle,SUB
UFC Fight Night: Barboza vs. Chikadze,Gerald Meerschaert,40%,99,0,0,Makhmud Muradov,57%,56,10,3,August 28 2021,"Las Vegas, Nevada, USA",3,2,Middleweight,Gerald Meerschaert,SUB
UFC Fight Night: Barboza vs. Chikadze,Giga Chikadze,34%,95,0,0,Edson Barboza,51%,117,0,0,August 28 2021,"Las Vegas, Nevada, USA",5,3,Featherweight,Giga Chikadze,KO/TKO
UFC Fight Night: Hall vs. Strickland,Cheyanne Vlismas,68%,16,1,1,Gloria de Paula,62%,8,0,0,July 31 2021,"Las Vegas, Nevada, USA",3,1,Women's Strawweight,Cheyanne Vlismas,KO/TKO
UFC Fight Night: Rozenstruik vs. Sakai,Claudio Puelles,60%,33,4,4,Jordan Leavitt,61%,34,7,2,June 05 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Claudio Puelles,U-DEC
UFC Fight Night: Rozenstruik vs. Sakai,Sean Woodson,34%,116,0,0,Youssef Zalal,47%,89,17,2,June 05 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Sean Woodson,S-DEC
UFC Fight Night: Hall vs. Strickland,Sean Strickland,41%,258,0,0,Uriah Hall,43%,428,6,4,July 31 2021,"Las Vegas, Nevada, USA",5,5,Middleweight,Sean Strickland,U-DEC
UFC Fight Night: Rozenstruik vs. Sakai,Alan Patrick,31%,32,4,0,Mason Jones,54%,85,3,2,June 05 2021,"Las Vegas, Nevada, USA",3,2,Lightweight,Alan Patrick,CNC
UFC Fight Night: Rozenstruik vs. Sakai,Kamuela Kirk,40%,49,9,5,Makwan Amirkhani,44%,63,0,0,June 05 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Kamuela Kirk,U-DEC
UFC Fight Night: Rozenstruik vs. Sakai,Montana De La Rosa,52%,55,3,2,Ariane Lipski,45%,24,0,0,June 05 2021,"Las Vegas, Nevada, USA",3,2,Women's Flyweight,Montana De La Rosa,KO/TKO
UFC Fight Night: Rozenstruik vs. Sakai,Muslim Salikhov,30%,128,1,0,Francisco Trinaldo,52%,118,3,2,June 05 2021,"Las Vegas, Nevada, USA",3,3,Welterweight,Muslim Salikhov,U-DEC
UFC Fight Night: Rozenstruik vs. Sakai,Manon Fiorot,48%,172,1,1,Tabatha Ricci,18%,90,1,0,June 05 2021,"Las Vegas, Nevada, USA",3,2,Women's Flyweight,Manon Fiorot,KO/TKO
UFC Fight Night: Rozenstruik vs. Sakai,Santiago Ponzinibbio,44%,270,2,0,Miguel Baeza,41%,249,0,0,June 05 2021,"Las Vegas, Nevada, USA",3,3,Welterweight,Santiago Ponzinibbio,U-DEC
UFC Fight Night: Rozenstruik vs. Sakai,Roman Dolidze,35%,39,9,5,Laureano Staropoli,23%,38,5,3,June 05 2021,"Las Vegas, Nevada, USA",3,3,Middleweight,Roman Dolidze,U-DEC
UFC Fight Night: Makhachev vs. Moises,Sergey Morozov,26%,123,1,0,Khalid Taha,48%,103,16,6,July 17 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Sergey Morozov,U-DEC
UFC Fight Night: Rozenstruik vs. Sakai,Jairzinho Rozenstruik,55%,29,0,0,Augusto Sakai,21%,14,0,0,June 05 2021,"Las Vegas, Nevada, USA",5,1,Heavyweight,Jairzinho Rozenstruik,KO/TKO
UFC Fight Night: Rozenstruik vs. Sakai,Ilir Latifi,42%,105,0,0,Tanner Boser,26%,38,3,2,June 05 2021,"Las Vegas, Nevada, USA",3,3,Heavyweight,Ilir Latifi,S-DEC
UFC Fight Night: Makhachev vs. Moises,Amanda Lemos,53%,13,0,0,Montserrat Conejo,42%,7,0,0,July 17 2021,"Las Vegas, Nevada, USA",3,1,Women's Strawweight,Amanda Lemos,KO/TKO
UFC Fight Night: Rozenstruik vs. Sakai,Gregory Rodrigues,30%,120,4,0,Dusko Todorovic,47%,150,5,3,June 05 2021,"Las Vegas, Nevada, USA",3,3,Middleweight,Gregory Rodrigues,U-DEC
UFC Fight Night: Makhachev vs. Moises,Daniel Rodriguez,54%,83,0,0,Preston Parsons,53%,43,4,0,July 17 2021,"Las Vegas, Nevada, USA",3,1,Welterweight,Daniel Rodriguez,KO/TKO
UFC Fight Night: Makhachev vs. Moises,Billy Quarantillo,51%,110,0,0,Gabriel Benitez,64%,156,7,3,July 17 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Billy Quarantillo,KO/TKO
UFC Fight Night: Makhachev vs. Moises,Malcolm Gordon,62%,45,2,2,Francisco Figueiredo,54%,84,11,2,July 17 2021,"Las Vegas, Nevada, USA",3,3,Flyweight,Malcolm Gordon,U-DEC
UFC Fight Night: Rozenstruik vs. Sakai,Marcin Tybura,57%,40,0,0,Walt Harris,40%,10,2,1,June 05 2021,"Las Vegas, Nevada, USA",3,1,Heavyweight,Marcin Tybura,KO/TKO
UFC Fight Night: Makhachev vs. Moises,Rodolfo Vieira,55%,88,4,3,Dustin Stoltzfus,34%,192,3,0,July 17 2021,"Las Vegas, Nevada, USA",3,3,Middleweight,Rodolfo Vieira,SUB
UFC Fight Night: Sandhagen vs. Dillashaw,Diana Belbita,55%,211,0,0,Hannah Goldy,50%,182,6,2,July 24 2021,"Las Vegas, Nevada, USA",3,3,Women's Strawweight,Diana Belbita,U-DEC
UFC Fight Night: Makhachev vs. Moises,Miesha Tate,39%,64,0,0,Marion Reneau,54%,120,6,3,July 17 2021,"Las Vegas, Nevada, USA",3,3,Women's Bantamweight,Miesha Tate,KO/TKO
UFC Fight Night: Makhachev vs. Moises,Islam Makhachev,66%,92,6,3,Thiago Moises,29%,44,2,1,July 17 2021,"Las Vegas, Nevada, USA",5,4,Lightweight,Islam Makhachev,SUB
UFC Fight Night: Sandhagen vs. Dillashaw,Julio Arce,37%,113,0,0,Andre Ewell,31%,97,0,0,July 24 2021,"Las Vegas, Nevada, USA",3,2,Bantamweight,Julio Arce,KO/TKO
UFC Fight Night: Sandhagen vs. Dillashaw,Mickey Gall,55%,20,2,1,Jordan Williams,37%,35,1,1,July 24 2021,"Las Vegas, Nevada, USA",3,1,Welterweight,Mickey Gall,SUB
UFC Fight Night: Sandhagen vs. Dillashaw,Brendan Allen,44%,149,0,0,Punahele Soriano,44%,211,1,0,July 24 2021,"Las Vegas, Nevada, USA",3,3,Middleweight,Brendan Allen,U-DEC
UFC Fight Night: Sandhagen vs. Dillashaw,Sijara Eubanks,55%,40,2,1,Elise Reed,25%,4,0,0,July 24 2021,"Las Vegas, Nevada, USA",3,1,Women's Flyweight,Sijara Eubanks,KO/TKO
UFC Fight Night: Sandhagen vs. Dillashaw,Adrian Yanez,34%,184,0,0,Randy Costa,45%,153,0,0,July 24 2021,"Las Vegas, Nevada, USA",3,2,Bantamweight,Adrian Yanez,KO/TKO
UFC Fight Night: Sandhagen vs. Dillashaw,Darren Elkins,66%,30,2,1,Darrick Minner,54%,35,2,2,July 24 2021,"Las Vegas, Nevada, USA",3,2,Featherweight,Darren Elkins,KO/TKO
UFC Fight Night: Sandhagen vs. Dillashaw,Nassourdine Imavov,40%,96,1,1,Ian Heinisch,46%,52,3,0,July 24 2021,"Las Vegas, Nevada, USA",3,2,Middleweight,Nassourdine Imavov,KO/TKO
UFC Fight Night: Sandhagen vs. Dillashaw,TJ Dillashaw,45%,281,1,0,Cory Sandhagen,41%,268,19,2,July 24 2021,"Las Vegas, Nevada, USA",5,5,Bantamweight,TJ Dillashaw,S-DEC
UFC Fight Night: Sandhagen vs. Dillashaw,Maycee Barber,32%,143,1,1,Miranda Maverick,32%,111,6,1,July 24 2021,"Las Vegas, Nevada, USA",3,3,Women's Flyweight,Maycee Barber,S-DEC
UFC Fight Night: Font vs. Garbrandt,David Dvorak,32%,28,0,0,Juancamilo Ronderos,34%,32,2,0,May 22 2021,"Las Vegas, Nevada, USA",3,1,Flyweight,David Dvorak,SUB
UFC Fight Night: Sandhagen vs. Dillashaw,Raulian Paiva,56%,132,9,4,Kyler Phillips,43%,117,6,2,July 24 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Raulian Paiva,M-DEC
UFC Fight Night: Font vs. Garbrandt,Josh Culibao,50%,104,1,0,Shayilan Nuerdanbieke,26%,63,14,2,May 22 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Josh Culibao,U-DEC
UFC Fight Night: Font vs. Garbrandt,Court McGee,50%,74,5,3,Claudio Silva,37%,56,10,1,May 22 2021,"Las Vegas, Nevada, USA",3,3,Welterweight,Court McGee,U-DEC
UFC Fight Night: Font vs. Garbrandt,Jack Hermansson,55%,100,6,3,Edmen Shahbazyan,43%,92,0,0,May 22 2021,"Las Vegas, Nevada, USA",3,3,Middleweight,Jack Hermansson,U-DEC
UFC Fight Night: Font vs. Garbrandt,Ben Rothwell,59%,101,1,1,Chris Barnett,38%,85,1,0,May 22 2021,"Las Vegas, Nevada, USA",3,2,Heavyweight,Ben Rothwell,SUB
UFC Fight Night: Font vs. Garbrandt,Bruno Silva,50%,12,0,0,Victor Rodriguez,0%,3,0,0,May 22 2021,"Las Vegas, Nevada, USA",3,1,Flyweight,Bruno Silva,KO/TKO
UFC Fight Night: Font vs. Garbrandt,Ricardo Ramos,51%,102,13,8,Bill Algeo,44%,170,1,0,May 22 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Ricardo Ramos,U-DEC
UFC Fight Night: Font vs. Garbrandt,Jared Vanderaa,50%,147,0,0,Justin Tafa,48%,248,0,0,May 22 2021,"Las Vegas, Nevada, USA",3,3,Heavyweight,Jared Vanderaa,U-DEC
UFC Fight Night: Font vs. Garbrandt,Carla Esparza,45%,11,0,0,Yan Xiaonan,81%,33,3,3,May 22 2021,"Las Vegas, Nevada, USA",3,2,Women's Strawweight,Carla Esparza,KO/TKO
UFC Fight Night: Gane vs. Volkov,Jeremiah Wells,88%,17,1,0,Warlley Alves,40%,52,3,0,June 26 2021,"Las Vegas, Nevada, USA",3,2,Welterweight,Jeremiah Wells,KO/TKO
UFC Fight Night: Font vs. Garbrandt,Rob Font,48%,365,3,2,Cody Garbrandt,44%,142,10,3,May 22 2021,"Las Vegas, Nevada, USA",5,5,Bantamweight,Rob Font,U-DEC
UFC Fight Night: Gane vs. Volkov,Marcin Prachnio,64%,92,0,0,Ike Villanueva,43%,79,1,1,June 26 2021,"Las Vegas, Nevada, USA",3,2,Light Heavyweight,Marcin Prachnio,KO/TKO
UFC Fight Night: Gane vs. Volkov,Renato Moicano,63%,41,7,5,Jai Herbert,28%,25,0,0,June 26 2021,"Las Vegas, Nevada, USA",3,2,Lightweight,Renato Moicano,SUB
UFC Fight Night: Gane vs. Volkov,Tim Means,56%,93,4,1,Nicolas Dalby,46%,116,4,0,June 26 2021,"Las Vegas, Nevada, USA",3,3,Welterweight,Tim Means,U-DEC
UFC Fight Night: Gane vs. Volkov,Tanner Boser,45%,72,0,0,Ovince Saint Preux,42%,21,5,1,June 26 2021,"Las Vegas, Nevada, USA",3,2,Heavyweight,Tanner Boser,KO/TKO
UFC Fight Night: Gane vs. Volkov,Kennedy Nzechukwu,38%,80,0,0,Danilo Marques,55%,18,12,2,June 26 2021,"Las Vegas, Nevada, USA",3,3,Light Heavyweight,Kennedy Nzechukwu,KO/TKO
UFC Fight Night: Gane vs. Volkov,Shavkat Rakhmonov,60%,35,1,1,Michel Prazeres,42%,14,3,0,June 26 2021,"Las Vegas, Nevada, USA",3,2,Welterweight,Shavkat Rakhmonov,SUB
UFC Fight Night: Font vs. Garbrandt,Norma Dumont,41%,114,0,0,Felicia Spencer,50%,135,3,1,May 22 2021,"Las Vegas, Nevada, USA",3,3,Women's Featherweight,Norma Dumont,S-DEC
UFC Fight Night: Gane vs. Volkov,Timur Valiev,52%,131,0,0,Raoni Barcelos,40%,190,6,0,June 26 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Timur Valiev,M-DEC
UFC Fight Night: Jung vs. Ige,Khaos Williams,35%,260,0,0,Matthew Semelsberger,45%,141,0,0,June 19 2021,"Las Vegas, Nevada, USA",3,3,Welterweight,Khaos Williams,U-DEC
UFC Fight Night: Gane vs. Volkov,Ciryl Gane,52%,255,4,0,Alexander Volkov,47%,241,0,0,June 26 2021,"Las Vegas, Nevada, USA",5,5,Heavyweight,Ciryl Gane,U-DEC
UFC Fight Night: Jung vs. Ige,Ricky Glenn,50%,2,0,0,Joaquim Silva,58%,17,0,0,June 19 2021,"Las Vegas, Nevada, USA",3,1,Lightweight,Ricky Glenn,KO/TKO
UFC Fight Night: Jung vs. Ige,Casey O'Neill,55%,129,2,1,Lara Procopio,63%,65,5,2,June 19 2021,"Las Vegas, Nevada, USA",3,3,Women's Flyweight,Casey O'Neill,SUB
UFC Fight Night: Gane vs. Volkov,Andre Fili,50%,67,1,1,Daniel Pineda,44%,34,7,0,June 26 2021,"Las Vegas, Nevada, USA",3,2,Featherweight,Andre Fili,CNC
