card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fight_date,fights_location,round_format,round_fought,weight_class,winner,winning_method
UFC on FUEL TV: Silva vs. Stann,Brad Tavares,40%,172,1,1,Riki Fukuda,45%,254,0,0,March 02 2013,"Saitama, Japan",3,3,Middleweight,Brad Tavares,U-DEC
UFC on FUEL TV: Silva vs. Stann,Takeya Mizugaki,57%,117,1,0,Bryan Caraway,41%,89,12,2,March 02 2013,"Saitama, Japan",3,3,Bantamweight,Takeya Mizugaki,S-DEC
UFC 158: St-Pierre vs Diaz,Georges St-Pierre,62%,167,16,9,Nick Diaz,30%,136,0,0,March 16 2013,"Montreal, Quebec, Canada",5,5,Welterweight,Georges St-Pierre,U-DEC
UFC on FUEL TV: Silva vs. Stann,Yushin Okami,41%,89,5,3,Hector Lombard,50%,89,3,0,March 02 2013,"Saitama, Japan",3,3,Middleweight,Yushin Okami,S-DEC
UFC on FUEL TV: Silva vs. Stann,Rani Yahya,28%,14,1,1,Mizuto Hirota,44%,29,12,5,March 02 2013,"Saitama, Japan",3,3,Featherweight,Rani Yahya,U-DEC
UFC on FUEL TV: Silva vs. Stann,Mark Hunt,35%,67,0,0,Stefan Struve,57%,82,2,1,March 02 2013,"Saitama, Japan",3,3,Heavyweight,Mark Hunt,KO/TKO
UFC on FUEL TV: Silva vs. Stann,Diego Sanchez,45%,180,0,0,Takanori Gomi,44%,145,5,2,March 02 2013,"Saitama, Japan",3,3,Lightweight,Diego Sanchez,S-DEC
UFC on FUEL TV: Silva vs. Stann,Wanderlei Silva,51%,83,2,0,Brian Stann,56%,76,0,0,March 02 2013,"Saitama, Japan",5,2,Light Heavyweight,Wanderlei Silva,KO/TKO
UFC 157: Rousey vs Carmouche,Kenny Robertson,69%,13,1,1,Brock Jardine,33%,3,0,0,February 23 2013,"Anaheim, California, USA",3,1,Welterweight,Kenny Robertson,SUB
UFC 157: Rousey vs Carmouche,Brendan Schaub,58%,31,8,5,Lavar Johnson,69%,52,1,1,February 23 2013,"Anaheim, California, USA",3,3,Heavyweight,Brendan Schaub,U-DEC
